month_year,location,Drone_Count,location,Fatality_Count
2022-02,,1,"Akhtyrka, Sumy",0
2022-02,,1,"Bezruky, Kharkiv oblast",1
2022-02,,1,Blagodatnoye,0
2022-02,,1,"Bucha, Kyiv vicinity",1
2022-02,,1,Buhas,1
2022-02,,1,Buzova,0
2022-02,,1,Chernihiv,3
2022-02,,1,"Chuhuiv, south of Kharkiv",2
2022-02,,1,Donetsk city,3
2022-02,,1,Gorlovka,2
2022-02,,1,Horlivka,0
2022-02,,1,"Horlivka, Donetsk",1
2022-02,,1,Hostomel,0
2022-02,,1,"Irpen, Kyiv vicinity",0
2022-02,,1,"Ivankiv,",0
2022-02,,1,Izyum,0
2022-02,,1,Kharkiv,0
2022-02,,1,"Kharkiv, Trufanova street",0
2022-02,,1,Kherson,1
2022-02,,1,"Kiev district, Donetsk",0
2022-02,,1,Kievsky district of Donetsk,0
2022-02,,1,"Kirov district, Donetsk",0
2022-02,,1,"Kirov, Donetsk",0
2022-02,,1,Kyinka,1
2022-02,,1,Kyiv,0
2022-02,,1,Lysychansk,0
2022-02,,1,Mariupol,2
2022-02,,1,Mariupol (Ð¼Ð¸ÐºÑ€Ð¾Ñ€Ð°Ð¹Ð¾Ð½ Ð’Ð¾ÑÑ‚Ð¾Ñ‡Ð½Ñ‹Ð¹),1
2022-02,,1,"Melitopol, Zaporizhzhia",0
2022-02,,1,Mykolaiv,0
2022-02,,1,"Nova Kakhovka, Kherson",0
2022-02,,1,"Novhorodska , Kharkiv",0
2022-02,,1,"Obolon, Kyiv",1
2022-02,,1,Okhmadyt,0
2022-02,,1,Okhtyrka,0
2022-02,,1,"Okhtyrka, Sumy",1
2022-02,,1,Oleksiyivka area of Kharkiv,0
2022-02,,1,Polovynkyne,1
2022-02,,1,"Pozniaky, Kyiv",3
2022-02,,1,"Saltivka, Kharkiv",0
2022-02,,1,"Sartana, Mariupol vicinity",1
2022-02,,1,Semihatka/Henichesk,1
2022-02,,1,Severodonetsk,0
2022-02,,1,Starobilsk,0
2022-02,,1,"Trostyanets', Sumy",0
2022-02,,1,Uman,0
2022-02,,1,Unknown,0
2022-02,,1,Vasylkiv,0
2022-02,,1,Velykyi Zholuds'k,0
2022-02,,1,"Verkhnii Rohachyk, Kherson",0
2022-02,,1,Volnovakha,0
2022-02,,1,"Volnovakha, Donetsk",1
2022-02,,1,Vorzel,0
2022-02,,1,Vuhledar,0
2022-03,,1,21/03/2022,0
2022-03,,1,Adviika,0
2022-03,,1,Akhtyrka,0
2022-03,,1,Avdiika,0
2022-03,,1,"Bila Tserkva, Kyiv Region",3
2022-03,,1,"Bobrik, Kyiv",0
2022-03,,1,Borodyanka,0
2022-03,,1,Brovary,0
2022-03,,1,"Buzova, Kyiv oblast",0
2022-03,,1,"Chaiky, Kyiv oblast",0
2022-03,,1,Chernihiv,0
2022-03,,1,"Cheryomushki Primorsky district, Mariupol",0
2022-03,,1,Dachnoye,0
2022-03,,1,Derhachi,0
2022-03,,1,Dnipro,0
2022-03,,1,Donbas,0
2022-03,,1,"Donets, Kharkiv",2
2022-03,,1,Donetsk,3
2022-03,,1,Donetsk City,12
2022-03,,1,Donetsk city,3
2022-03,,1,"Donetsk oblast, Staromlinovka",4
2022-03,,1,Enerhodar,1
2022-03,,1,"Enerhodar, Zaporizhzhia oblast",0
2022-03,,1,"Gatne, near Kyiv",0
2022-03,,1,Gostomel,0
2022-03,,1,"Hoholiv, Kyiv Region",0
2022-03,,1,"Horokhovatka, Kharkiv",0
2022-03,,1,"Hostomel', Kyiv",0
2022-03,,1,"Hostomel, Kyiv",0
2022-03,,1,Hulyaipole,0
2022-03,,1,"Hurivshchyna, Kyiv oblast",1
2022-03,,1,Irpen,0
2022-03,,1,"Irpen', Kyiv",3
2022-03,,1,Irpin,0
2022-03,,1,"Irpin, Kyiv vicinity",0
2022-03,,1,"Izum, Kharkiv",0
2022-03,,1,Izyum,0
2022-03,,1,Izyum (Kharkiv Region),0
2022-03,,1,"Izyum, Kharkiv",0
2022-03,,1,"Kalmiuskyi district, Mariupol",0
2022-03,,1,"Kamyanka, Kharkiv",0
2022-03,,1,Kharkiv,0
2022-03,,1,"Kharkiv, 5-Y Mikrorayon (district)",0
2022-03,,1,"Kharkiv, 531 Microdistrict",3
2022-03,,1,"Kharkiv, Microdistrict 522",0
